allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000000762-KanMX,anp1,Disruption marked with KanMX,NA,NA,NA
S000000763-KanMX,rad23,Disruption marked with KanMX,NA,NA,NA
S000000764-KanMX,utr4,Disruption marked with KanMX,NA,NA,NA
S000000765-KanMX,cyc7,Disruption marked with KanMX,NA,NA,NA
S000000766-KanMX,utr2,Disruption marked with KanMX,NA,NA,NA
S000000767-KanMX,yef1,Disruption marked with KanMX,NA,NA,NA
S000000768-KanMX,gda1,Disruption marked with KanMX,NA,NA,NA
S000000769-KanMX,yel043w,Disruption marked with KanMX,NA,NA,NA
S000000770-KanMX,ies6,Disruption marked with KanMX,NA,NA,NA
S000000771-KanMX,yel045c,Disruption marked with KanMX,NA,NA,NA
S000000772-KanMX,gly1,Disruption marked with KanMX,NA,NA,NA
S000000773-KanMX,frd1,Disruption marked with KanMX,NA,NA,NA
S000000774-KanMX,tca17,Disruption marked with KanMX,NA,NA,NA
S000000775-KanMX,pau2,Disruption marked with KanMX,NA,NA,NA
S000000776-KanMX,rml2,Disruption marked with KanMX,NA,NA,NA
S000000777-KanMX,vma8,Disruption marked with KanMX,NA,NA,NA
S000000778-KanMX,afg1,Disruption marked with KanMX,NA,NA,NA
S000000779-KanMX,mak10,Disruption marked with KanMX,NA,NA,NA
S000000780-KanMX,rpl12a,Disruption marked with KanMX,NA,NA,NA
S000000782-KanMX,hat2,Disruption marked with KanMX,NA,NA,NA
S000000783-KanMX,yel057c,Disruption marked with KanMX,NA,NA,NA
S000000785-KanMX,hhy1,Disruption marked with KanMX,NA,NA,NA
S000000786-KanMX,prb1,Disruption marked with KanMX,NA,NA,NA
S000000787-KanMX,cin8,Disruption marked with KanMX,NA,NA,NA
S000000788-KanMX,npr2,Disruption marked with KanMX,NA,NA,NA
S000000789-KanMX,can1,Disruption marked with KanMX,NA,NA,NA
S000000790-KanMX,avt2,Disruption marked with KanMX,NA,NA,NA
S000000791-KanMX,sit1,Disruption marked with KanMX,NA,NA,NA
S000000792-KanMX,hpa3,Disruption marked with KanMX,NA,NA,NA
S000000793-KanMX,yel067c,Disruption marked with KanMX,NA,NA,NA
S000000794-KanMX,yel068c,Disruption marked with KanMX,NA,NA,NA
S000000797-KanMX,dld3,Disruption marked with KanMX,NA,NA,NA
S000000798-KanMX,rmd6,Disruption marked with KanMX,NA,NA,NA
S000000803-KanMX,mnn1,Disruption marked with KanMX,NA,NA,NA
S000000804-KanMX,nop16,Disruption marked with KanMX,NA,NA,NA
S000000806-KanMX,fmp52,Disruption marked with KanMX,NA,NA,NA
S000000807-KanMX,ynd1,Disruption marked with KanMX,NA,NA,NA
S000002957-KanMX,tma20,Disruption marked with KanMX,NA,NA,NA
S000000809-KanMX,pac2,Disruption marked with KanMX,NA,NA,NA
S000000812-KanMX,yer010c,Disruption marked with KanMX,NA,NA,NA
S000000813-KanMX,tir1,Disruption marked with KanMX,NA,NA,NA
S000000816-KanMX,hem14,Disruption marked with KanMX,NA,NA,NA
S000002142-KanMX,pau8,Disruption marked with KanMX,NA,NA,NA
S000000062-KanMX,seo1,Disruption marked with KanMX,NA,NA,NA
S000000061-KanMX,yal066w,Disruption marked with KanMX,NA,NA,NA
S000001817-KanMX,yal065c,Disruption marked with KanMX,NA,NA,NA
S000000058-KanMX,gdh3,Disruption marked with KanMX,NA,NA,NA
S000000057-KanMX,bdh2,Disruption marked with KanMX,NA,NA,NA
S000000056-KanMX,bdh1,Disruption marked with KanMX,NA,NA,NA
S000000055-KanMX,ecm1,Disruption marked with KanMX,NA,NA,NA
S000000054-KanMX,cne1,Disruption marked with KanMX,NA,NA,NA
S000000052-KanMX,gpb2,Disruption marked with KanMX,NA,NA,NA
S000000051-KanMX,pex22,Disruption marked with KanMX,NA,NA,NA
S000000049-KanMX,flc2,Disruption marked with KanMX,NA,NA,NA
S000000048-KanMX,oaf1,Disruption marked with KanMX,NA,NA,NA
S000000047-KanMX,aim2,Disruption marked with KanMX,NA,NA,NA
S000000046-KanMX,gem1,Disruption marked with KanMX,NA,NA,NA
S000000044-KanMX,aim1,Disruption marked with KanMX,NA,NA,NA
S000000043-KanMX,yal045c,Disruption marked with KanMX,NA,NA,NA
S000000042-KanMX,gcv3,Disruption marked with KanMX,NA,NA,NA
S000000040-KanMX,erv46,Disruption marked with KanMX,NA,NA,NA
S000002138-KanMX,yal042c-a,Disruption marked with KanMX,NA,NA,NA
S000000038-KanMX,cln3,Disruption marked with KanMX,NA,NA,NA
