allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000000232,YPK3,NA,NA,NA,NA
S000000233,CDS1,NA,NA,NA,NA
S000000234,RKM3,NA,NA,NA,NA
S000000235,RPL4A,NA,NA,NA,NA
S000000236,YBR032W,NA,NA,NA,NA
S000000237,EDS1,NA,NA,NA,NA
S000000238,HMT1,NA,NA,NA,NA
S000000239,PDX3,NA,NA,NA,NA
S000000240,CSG2,NA,NA,NA,NA
S000000241,SCO1,NA,NA,NA,NA
S000000242,CHS2,NA,NA,NA,NA
S000000243,ATP3,NA,NA,NA,NA
S000000244,FIG1,NA,NA,NA,NA
S000000245,FAT1,NA,NA,NA,NA
S000000246,CST26,NA,NA,NA,NA
S000000247,QDR3,NA,NA,NA,NA
S000000248,TCM62,NA,NA,NA,NA
S000000249,GIP1,NA,NA,NA,NA
S000000250,ZTA1,NA,NA,NA,NA
S000000251,FMP23,NA,NA,NA,NA
S000000252,RPS11B,NA,NA,NA,NA
S000000253,REB1,NA,NA,NA,NA
S000000254,REG2,NA,NA,NA,NA
S000000255,YBR051W,NA,NA,NA,NA
S000000256,RFS1,NA,NA,NA,NA
S000000257,YBR053C,NA,NA,NA,NA
S000000258,YRO2,NA,NA,NA,NA
S000000259,PRP6,NA,NA,NA,NA
S000000260,YBR056W,NA,NA,NA,NA
S000000261,MUM2,NA,NA,NA,NA
S000000262,UBP14,NA,NA,NA,NA
S000000263,AKL1,NA,NA,NA,NA
S000000264,ORC2,NA,NA,NA,NA
S000000265,TRM7,NA,NA,NA,NA
S000000266,YBR062C,NA,NA,NA,NA
S000000267,YBR063C,NA,NA,NA,NA
S000000268,YBR064W,NA,NA,NA,NA
S000000269,ECM2,NA,NA,NA,NA
S000000270,NRG2,NA,NA,NA,NA
S000000271,TIP1,NA,NA,NA,NA
S000000272,BAP2,NA,NA,NA,NA
S000000273,TAT1,NA,NA,NA,NA
S000000274,ALG14,NA,NA,NA,NA
S000000275,YBR071W,NA,NA,NA,NA
S000000276,HSP26,NA,NA,NA,NA
S000000277,RDH54,NA,NA,NA,NA
S000000278,PFF1,NA,NA,NA,NA
S000000280,ECM8,NA,NA,NA,NA
S000000281,SLM4,NA,NA,NA,NA
S000000282,ECM33,NA,NA,NA,NA
S000000283,RPG1,NA,NA,NA,NA
S000000284,SEC18,NA,NA,NA,NA
S000000285,SPT7,NA,NA,NA,NA
S000000286,UBC4,NA,NA,NA,NA
S000000287,TEC1,NA,NA,NA,NA
S000000288,MIS1,NA,NA,NA,NA
S000000289,AAC3,NA,NA,NA,NA
S000000290,IST2,NA,NA,NA,NA
S000000291,RFC5,NA,NA,NA,NA
S000000292,POL30,NA,NA,NA,NA
S000000293,YBR089W,NA,NA,NA,NA
S000000294,YBR090C,NA,NA,NA,NA
S000000295,TIM12,NA,NA,NA,NA
S000000296,PHO3,NA,NA,NA,NA
S000000297,PHO5,NA,NA,NA,NA
S000000298,PBY1,NA,NA,NA,NA
S000000299,RXT2,NA,NA,NA,NA
S000000300,YBR096W,NA,NA,NA,NA
S000000301,VPS15,NA,NA,NA,NA
S000000302,MMS4,NA,NA,NA,NA
S000000303,YBR099C,NA,NA,NA,NA
S000000305,FES1,NA,NA,NA,NA
S000000306,EXO84,NA,NA,NA,NA
S000000307,SIF2,NA,NA,NA,NA
S000000308,YMC2,NA,NA,NA,NA
S000000309,VID24,NA,NA,NA,NA
S000000310,PHO88,NA,NA,NA,NA
S000000311,IML3,NA,NA,NA,NA
S000000312,AIM3,NA,NA,NA,NA
S000000313,CMD1,NA,NA,NA,NA
S000000314,ALG1,NA,NA,NA,NA
S000000315,YSA1,NA,NA,NA,NA
S000000316,CYC8,NA,NA,NA,NA
S000000317,YBR113W,NA,NA,NA,NA
S000000318,RAD16,NA,NA,NA,NA
S000000319,LYS2,NA,NA,NA,NA
S000000320,YBR116C,NA,NA,NA,NA
S000000321,TKL2,NA,NA,NA,NA
S000000322,TEF2,NA,NA,NA,NA
S000000323,MUD1,NA,NA,NA,NA
S000000324,CBP6,NA,NA,NA,NA
S000000325,GRS1,NA,NA,NA,NA
S000000326,MRPL36,NA,NA,NA,NA
S000000327,TFC1,NA,NA,NA,NA
S000000328,YBR124W,NA,NA,NA,NA
S000000329,PTC4,NA,NA,NA,NA
S000000330,TPS1,NA,NA,NA,NA
S000000331,VMA2,NA,NA,NA,NA
S000000332,ATG14,NA,NA,NA,NA
S000000333,OPY1,NA,NA,NA,NA
S000000334,SHE3,NA,NA,NA,NA
S000000335,CCZ1,NA,NA,NA,NA
S000000336,AGP2,NA,NA,NA,NA
S000000337,HSL7,NA,NA,NA,NA
S000000338,YBR134W,NA,NA,NA,NA
S000000339,CKS1,NA,NA,NA,NA
S000000340,MEC1,NA,NA,NA,NA
S000000341,YBR137W,NA,NA,NA,NA
S000000342,YBR138C,NA,NA,NA,NA
S000000343,YBR139W,NA,NA,NA,NA
S000000344,IRA1,NA,NA,NA,NA
S000000345,BMT2,NA,NA,NA,NA
S000000346,MAK5,NA,NA,NA,NA
S000000347,SUP45,NA,NA,NA,NA
S000000348,YBR144C,NA,NA,NA,NA
S000000349,ADH5,NA,NA,NA,NA
S000000350,MRPS9,NA,NA,NA,NA
S000000351,RTC2,NA,NA,NA,NA
S000000352,YSW1,NA,NA,NA,NA
S000000353,ARA1,NA,NA,NA,NA
S000000354,TBS1,NA,NA,NA,NA
S000000355,APD1,NA,NA,NA,NA
S000000356,SPP381,NA,NA,NA,NA
S000000357,RIB7,NA,NA,NA,NA
S000000358,RPB5,NA,NA,NA,NA
S000000359,CNS1,NA,NA,NA,NA
S000000360,SLI15,NA,NA,NA,NA
S000000361,ICS2,NA,NA,NA,NA
S000000362,AMN1,NA,NA,NA,NA
S000000363,IFA38,NA,NA,NA,NA
S000000364,CDC28,NA,NA,NA,NA
S000000365,CSH1,NA,NA,NA,NA
S000000366,TOS1,NA,NA,NA,NA
S000000367,EXO5,NA,NA,NA,NA
S000000368,ARL1,NA,NA,NA,NA
S000000369,UBS1,NA,NA,NA,NA
S000000370,TYR1,NA,NA,NA,NA
S000000371,POP7,NA,NA,NA,NA
S000000372,PEX32,NA,NA,NA,NA
S000000373,SSE2,NA,NA,NA,NA
S000000374,NPL4,NA,NA,NA,NA
S000000375,SEC66,NA,NA,NA,NA
S000000376,SMY2,NA,NA,NA,NA
S000000377,UMP1,NA,NA,NA,NA
S000000378,YBR174C,NA,NA,NA,NA
S000000379,SWD3,NA,NA,NA,NA
S000000380,ECM31,NA,NA,NA,NA
S000000381,EHT1,NA,NA,NA,NA
S000000382,YBR178W,NA,NA,NA,NA
S000000383,FZO1,NA,NA,NA,NA
S000000384,DTR1,NA,NA,NA,NA
S000000385,RPS6B,NA,NA,NA,NA
S000000386,SMP1,NA,NA,NA,NA
S000000387,YPC1,NA,NA,NA,NA
S000000388,YBR184W,NA,NA,NA,NA
S000000389,MBA1,NA,NA,NA,NA
S000000390,PCH2,NA,NA,NA,NA
S000000391,GDT1,NA,NA,NA,NA
S000000392,NTC20,NA,NA,NA,NA
S000000393,RPS9B,NA,NA,NA,NA
S000000394,YBR190W,NA,NA,NA,NA
S000000395,RPL21A,NA,NA,NA,NA
S000000396,RIM2,NA,NA,NA,NA
S000000397,MED8,NA,NA,NA,NA
S000000398,AIM4,NA,NA,NA,NA
S000000399,MSI1,NA,NA,NA,NA
S000000400,PGI1,NA,NA,NA,NA
S000000401,YBR197C,NA,NA,NA,NA
S000000402,TAF5,NA,NA,NA,NA
S000000403,KTR4,NA,NA,NA,NA
S000000404,BEM1,NA,NA,NA,NA
S000000405,DER1,NA,NA,NA,NA
S000000406,MCM7,NA,NA,NA,NA
S000000407,COS111,NA,NA,NA,NA
S000000408,LDH1,NA,NA,NA,NA
S000000409,KTR3,NA,NA,NA,NA
S000000410,YBR206W,NA,NA,NA,NA
S000000411,FTH1,NA,NA,NA,NA
S000000412,"DUR1,2",NA,NA,NA,NA
S000000413,YBR209W,NA,NA,NA,NA
S000000414,ERV15,NA,NA,NA,NA
S000000415,AME1,NA,NA,NA,NA
S000000416,NGR1,NA,NA,NA,NA
S000000417,MET8,NA,NA,NA,NA
S000000418,SDS24,NA,NA,NA,NA
S000000419,HPC2,NA,NA,NA,NA
S000000420,YBP1,NA,NA,NA,NA
S000000421,ATG12,NA,NA,NA,NA
S000000422,PYC2,NA,NA,NA,NA
S000000423,YBR219C,NA,NA,NA,NA
S000000424,YBR220C,NA,NA,NA,NA
S000000425,PDB1,NA,NA,NA,NA
S000000426,PCS60,NA,NA,NA,NA
S000000427,TDP1,NA,NA,NA,NA
S000000428,YBR224W,NA,NA,NA,NA
S000000429,YBR225W,NA,NA,NA,NA
S000000430,YBR226C,NA,NA,NA,NA
S000000431,MCX1,NA,NA,NA,NA
S000000432,SLX1,NA,NA,NA,NA
S000000433,ROT2,NA,NA,NA,NA
S000000434,OM14,NA,NA,NA,NA
S000000435,SWC5,NA,NA,NA,NA
S000000436,YBR232C,NA,NA,NA,NA
S000000437,PBP2,NA,NA,NA,NA
S000000438,ARC40,NA,NA,NA,NA
S000000439,VHC1,NA,NA,NA,NA
S000000440,ABD1,NA,NA,NA,NA
S000000441,PRP5,NA,NA,NA,NA
S000000442,YBR238C,NA,NA,NA,NA
S000000443,ERT1,NA,NA,NA,NA
S000000444,THI2,NA,NA,NA,NA
S000000445,YBR241C,NA,NA,NA,NA
S000000446,YBR242W,NA,NA,NA,NA
S000000447,ALG7,NA,NA,NA,NA
S000000448,GPX2,NA,NA,NA,NA
S000000449,ISW1,NA,NA,NA,NA
S000000450,RRT2,NA,NA,NA,NA
S000000451,ENP1,NA,NA,NA,NA
S000000452,HIS7,NA,NA,NA,NA
S000000453,ARO4,NA,NA,NA,NA
S000000454,SPO23,NA,NA,NA,NA
S000000455,MRPS5,NA,NA,NA,NA
S000000456,DUT1,NA,NA,NA,NA
S000000457,SRB6,NA,NA,NA,NA
S000000458,TRS20,NA,NA,NA,NA
S000000459,MTC4,NA,NA,NA,NA
S000000460,RIB5,NA,NA,NA,NA
S000000461,POP4,NA,NA,NA,NA
S000000462,SHG1,NA,NA,NA,NA
S000000463,YBR259W,NA,NA,NA,NA
S000000464,RGD1,NA,NA,NA,NA
S000000465,TAE1,NA,NA,NA,NA
S000000466,MIC12,NA,NA,NA,NA
S000000467,SHM1,NA,NA,NA,NA
S000000468,YPT10,NA,NA,NA,NA
S000000469,TSC10,NA,NA,NA,NA
S000000470,SLM6,NA,NA,NA,NA
S000000471,REI1,NA,NA,NA,NA
S000000472,MRPL37,NA,NA,NA,NA
S000000473,SDH8,NA,NA,NA,NA
S000000474,BIT2,NA,NA,NA,NA
S000000475,EFM2,NA,NA,NA,NA
S000000476,HSM3,NA,NA,NA,NA
S000000477,UBX7,NA,NA,NA,NA
S000000478,CHK1,NA,NA,NA,NA
S000000479,RIF1,NA,NA,NA,NA
S000000480,PPS1,NA,NA,NA,NA
S000000481,YBR277C,NA,NA,NA,NA
S000000482,DPB3,NA,NA,NA,NA
S000000483,PAF1,NA,NA,NA,NA
S000000484,SAF1,NA,NA,NA,NA
S000000485,DUG2,NA,NA,NA,NA
S000000486,MRPL27,NA,NA,NA,NA
S000000487,SSH1,NA,NA,NA,NA
S000000488,YBR284W,NA,NA,NA,NA
S000000489,YBR285W,NA,NA,NA,NA
S000000490,APE3,NA,NA,NA,NA
S000000491,YBR287W,NA,NA,NA,NA
S000000492,APM3,NA,NA,NA,NA
S000000493,SNF5,NA,NA,NA,NA
S000000494,BSD2,NA,NA,NA,NA
S000000495,CTP1,NA,NA,NA,NA
S000000496,YBR292C,NA,NA,NA,NA
S000000497,VBA2,NA,NA,NA,NA
S000000498,SUL1,NA,NA,NA,NA
S000000499,PCA1,NA,NA,NA,NA
S000000500,PHO89,NA,NA,NA,NA
S000000501,MAL33,NA,NA,NA,NA
S000000502,MAL31,NA,NA,NA,NA
S000000503,MAL32,NA,NA,NA,NA
S000000504,YBR300C,NA,NA,NA,NA
S000000505,PAU24,NA,NA,NA,NA
S000000506,COS2,NA,NA,NA,NA
S000000507,RER1,NA,NA,NA,NA
S000000508,YCL002C,NA,NA,NA,NA
S000000510,PGS1,NA,NA,NA,NA
S000000511,LDB16,NA,NA,NA,NA
S000000513,YCL007C,NA,NA,NA,NA
S000000514,STP22,NA,NA,NA,NA
S000000515,ILV6,NA,NA,NA,NA
S000000516,SGF29,NA,NA,NA,NA
S000000517,GBP2,NA,NA,NA,NA
S000000520,BUD3,NA,NA,NA,NA
S000000521,DCC1,NA,NA,NA,NA
S000000522,NFS1,NA,NA,NA,NA
S000000523,LEU2,NA,NA,NA,NA
S000000524,YCL019W,NA,NA,NA,NA
S000000525,YCL020W,NA,NA,NA,NA
S000000527,YCL022C,NA,NA,NA,NA
S000000528,YCL023C,NA,NA,NA,NA
S000000529,KCC4,NA,NA,NA,NA
S000000530,AGP1,NA,NA,NA,NA
S000000532,FUS1,NA,NA,NA,NA
S000000533,RNQ1,NA,NA,NA,NA
S000000534,BIK1,NA,NA,NA,NA
S000000535,HIS4,NA,NA,NA,NA
S000000536,RRP7,NA,NA,NA,NA
S000000537,STE50,NA,NA,NA,NA
S000000538,MXR2,NA,NA,NA,NA
S000000539,LSB5,NA,NA,NA,NA
S000000540,GRX1,NA,NA,NA,NA
S000000541,GFD2,NA,NA,NA,NA
S000000542,SRO9,NA,NA,NA,NA
S000000543,ATG22,NA,NA,NA,NA
S000000544,GID7,NA,NA,NA,NA
S000000545,GLK1,NA,NA,NA,NA
S000000546,YCL041C,NA,NA,NA,NA
S000000547,YCL042W,NA,NA,NA,NA
S000000548,PDI1,NA,NA,NA,NA
S000000549,MGR1,NA,NA,NA,NA
S000000550,EMC1,NA,NA,NA,NA
S000000551,YCL046W,NA,NA,NA,NA
S000000552,POF1,NA,NA,NA,NA
S000000553,SPS22,NA,NA,NA,NA
S000000554,YCL049C,NA,NA,NA,NA
S000000555,APA1,NA,NA,NA,NA
S000000556,LRE1,NA,NA,NA,NA
S000000557,PBN1,NA,NA,NA,NA
S000000559,SPB1,NA,NA,NA,NA
S000000560,KAR4,NA,NA,NA,NA
S000000561,PEX34,NA,NA,NA,NA
S000000562,PRD1,NA,NA,NA,NA
S000000563,FYV5,NA,NA,NA,NA
S000000564,KRR1,NA,NA,NA,NA
S000000566,MRC1,NA,NA,NA,NA
S000000568,VAC17,NA,NA,NA,NA
S000000569,CHA1,NA,NA,NA,NA
S000000570,YCL065W,NA,NA,NA,NA
S000000571,HMLALPHA1,NA,NA,NA,NA
S000000572,HMLALPHA2,NA,NA,NA,NA
S000000573,YCL068C,NA,NA,NA,NA
S000000574,VBA3,NA,NA,NA,NA
S000000575,GEX1,NA,NA,NA,NA
S000000579,YCL074W,NA,NA,NA,NA
S000000580,YCL075W,NA,NA,NA,NA
S000000581,YCL076W,NA,NA,NA,NA
S000000589,FRM2,NA,NA,NA,NA
S000000594,YCR001W,NA,NA,NA,NA
S000000595,CDC10,NA,NA,NA,NA
S000000596,MRPL32,NA,NA,NA,NA
S000000597,YCP4,NA,NA,NA,NA
S000000598,CIT2,NA,NA,NA,NA
S000000599,YCR006C,NA,NA,NA,NA
S000000600,YCR007C,NA,NA,NA,NA
S000000601,SAT4,NA,NA,NA,NA
S000000602,RVS161,NA,NA,NA,NA
S000000603,ADY2,NA,NA,NA,NA
S000000604,ADP1,NA,NA,NA,NA
S000000605,PGK1,NA,NA,NA,NA
S000000606,YCR013C,NA,NA,NA,NA
S000000607,POL4,NA,NA,NA,NA
S000000608,YCR015C,NA,NA,NA,NA
S000000609,YCR016W,NA,NA,NA,NA
S000000610,CWH43,NA,NA,NA,NA
S000000611,SRD1,NA,NA,NA,NA
S000000612,MAK32,NA,NA,NA,NA
S000000613,PET18,NA,NA,NA,NA
S000000614,MAK31,NA,NA,NA,NA
S000000615,HSP30,NA,NA,NA,NA
S000000616,YCR022C,NA,NA,NA,NA
S000000617,YCR023C,NA,NA,NA,NA
S000000618,SLM5,NA,NA,NA,NA
S000000619,PMP1,NA,NA,NA,NA
S000000620,YCR025C,NA,NA,NA,NA
S000000621,NPP1,NA,NA,NA,NA
S000000622,RHB1,NA,NA,NA,NA
S000000623,FEN2,NA,NA,NA,NA
S000000626,SYP1,NA,NA,NA,NA
S000000627,RPS14A,NA,NA,NA,NA
S000000628,BPH1,NA,NA,NA,NA
S000000629,SNT1,NA,NA,NA,NA
S000000630,ELO2,NA,NA,NA,NA
S000000631,RRP43,NA,NA,NA,NA
S000000632,RBK1,NA,NA,NA,NA
S000000633,PHO87,NA,NA,NA,NA
S000000634,BUD5,NA,NA,NA,NA
S000000635,MATALPHA2,NA,NA,NA,NA
S000000636,MATALPHA1,NA,NA,NA,NA
S000000637,YCR041W,NA,NA,NA,NA
S000000638,TAF2,NA,NA,NA,NA
S000000639,YCR043C,NA,NA,NA,NA
S000000640,PER1,NA,NA,NA,NA
S000000641,RRT12,NA,NA,NA,NA
S000000642,IMG1,NA,NA,NA,NA
S000000643,BUD23,NA,NA,NA,NA
S000000644,ARE1,NA,NA,NA,NA
S000000645,YCR049C,NA,NA,NA,NA
S000000646,YCR050C,NA,NA,NA,NA
S000000647,YCR051W,NA,NA,NA,NA
S000000648,RSC6,NA,NA,NA,NA
S000000649,THR4,NA,NA,NA,NA
S000000650,CTR86,NA,NA,NA,NA
S000000653,PWP2,NA,NA,NA,NA
S000000655,YIH1,NA,NA,NA,NA
S000000656,TAH1,NA,NA,NA,NA
S000000657,YCR061W,NA,NA,NA,NA
S000000659,BUD31,NA,NA,NA,NA
S000000660,YCR064C,NA,NA,NA,NA
S000000661,HCM1,NA,NA,NA,NA
