"allele_id","item_id"
"S000000767","rec20282"
"S000000768-KanMX","rec20283"
"S000000768","rec20283"
"S000000769-KanMX","rec20284"
"S000000769","rec20284"
"S000000770-KanMX","rec20285"
"S000000770","rec20285"
"S000000771-KanMX","rec20286"
"S000000771","rec20286"
"S000000772-KanMX","rec20287"
"S000000772","rec20287"
"S000000773-KanMX","rec20288"
"S000000773","rec20288"
"S000000774-KanMX","rec20289"
"S000000774","rec20289"
"S000000775-KanMX","rec20290"
"S000000775","rec20290"
"S000000776-KanMX","rec20291"
"S000000776","rec20291"
"S000000777-KanMX","rec20292"
"S000000777","rec20292"
"S000000778-KanMX","rec20293"
"S000000778","rec20293"
"S000000779-KanMX","rec20294"
"S000000779","rec20294"
"S000000780-KanMX","rec20295"
"S000000780","rec20295"
"S000000781-KanMX","rec20296"
"S000000781","rec20296"
"S000000782-KanMX","rec20297"
"S000000782","rec20297"
"S000000783-KanMX","rec20298"
"S000000783","rec20298"
"S000000784-KanMX","rec20299"
"S000000784","rec20299"
"S000000785-KanMX","rec20301"
"S000000785","rec20301"
"S000000786-KanMX","rec20302"
"S000000786","rec20302"
"S000000787-KanMX","rec20303"
"S000000787","rec20303"
"S000000788-KanMX","rec20304"
"S000000788","rec20304"
"S000000789-KanMX","rec20305"
"S000000789","rec20305"
"S000000790-KanMX","rec20306"
"S000000790","rec20306"
"S000000791-KanMX","rec20307"
"S000000791","rec20307"
"S000000792-KanMX","rec20308"
"S000000792","rec20308"
"S000000793-KanMX","rec20309"
"S000000793","rec20309"
"S000000794-KanMX","rec20310"
"S000000794","rec20310"
"S000000797-KanMX","rec20313"
"S000000797","rec20313"
"S000000798-KanMX","rec20314"
"S000000798","rec20314"
"S000000803-KanMX","rec20322"
"S000000803","rec20322"
"S000000804-KanMX","rec20323"
"S000000804","rec20323"
"S000000805-KanMX","rec20324"
"S000000805","rec20324"
"S000000806-KanMX","rec20325"
"S000000806","rec20325"
"S000000807-KanMX","rec20326"
"S000000807","rec20326"
"S000000808-KanMX","rec20327"
"S000000808","rec20327"
"S000002957-KanMX","rec20328"
"S000002957","rec20328"
"S000000809-KanMX","rec20329"
"S000000809","rec20329"
"S000000810-KanMX","rec20330"
"S000000810","rec20330"
"S000000811-KanMX","rec20331"
"S000000811","rec20331"
"S000000812-KanMX","rec20332"
"S000000812","rec20332"
"S000000813-KanMX","rec20333"
"S000000813","rec20333"
"S000000814-KanMX","rec20334"
"S000000814","rec20334"
"S000000815-KanMX","rec20335"
"S000000815","rec20335"
"S000000816-KanMX","rec20336"
"S000000816","rec20336"
"S000002142-KanMX","rec20338"
"S000002142","rec20338"
"S000000062-KanMX","rec20339"
"S000000062","rec20339"
"S000000061-KanMX","rec20340"
"S000000061","rec20340"
"S000001817-KanMX","rec20341"
"S000001817","rec20341"
"S000000058-KanMX","rec20345"
"S000000058","rec20345"
"S000000057-KanMX","rec20346"
"S000000057","rec20346"
"S000000056-KanMX","rec20347"
"S000000056","rec20347"
"S000000055-KanMX","rec20348"
"S000000055","rec20348"
"S000000054-KanMX","rec20349"
"S000000054","rec20349"
"S000000052-KanMX","rec20351"
"S000000052","rec20351"
"S000000051-KanMX","rec20352"
"S000000051","rec20352"
"S000000049-KanMX","rec20354"
"S000000049","rec20354"
"S000000048-KanMX","rec20355"
"S000000048","rec20355"
"S000000047-KanMX","rec20356"
"S000000047","rec20356"
"S000000046-KanMX","rec20357"
"S000000046","rec20357"
"S000000044-KanMX","rec20359"
"S000000044","rec20359"
"S000000043-KanMX","rec20360"
"S000000043","rec20360"
