freezer,temp,shelf,rack,pullout,insert,row,column,pullout_label,box_label,description,type,item_id
A,-80,8,4,3,2,1,7,,,,strains,W11199-6B
A,-80,8,4,3,2,1,6,,,,strains,W11199-1B
A,-80,8,4,3,2,1,5,,,,strains,W11199-3D
A,-80,8,4,3,2,1,4,,,,strains,W11199-2B
A,-80,8,4,3,2,1,3,,,,strains,W11199-1A
A,-80,6,1,3,3,2,4,,,,strains,W11198-24B
A,-80,6,1,3,3,2,3,,,,strains,W11197-21D
A,-80,8,4,3,2,1,2,,,,strains,W11191-5A
A,-80,8,4,3,2,1,1,,,,strains,W11191-2A
A,-80,8,4,3,1,2,1,,,,strains,W11194-1D
