freezer,temp,shelf,rack,pullout,insert,row,column,pullout_label,box_label,description,type,item_id
shmoo,-20,1,1,2,3,5,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,5,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,5,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,6,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,7,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,1,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,2,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,3,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,4,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,5,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,6,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,7,NA,NA,NA,NA,NA
shmoo,-20,1,1,2,3,8,8,NA,NA,NA,NA,NA
shmoo,-20,1,1,3,1,1,1,NA,NA,NA,NA,NA
