strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-deletion-384,rec758,1,E,21,TRUE,NA
MATa-deletion-384,rec523,1,E,22,TRUE,NA
MATa-deletion-384,rec759,1,E,23,TRUE,NA
MATa-deletion-384,rec524,1,E,24,TRUE,NA
MATa-deletion-384,rec1567,1,F,1,TRUE,NA
MATa-deletion-384,rec370,1,F,2,TRUE,NA
MATa-deletion-384,rec1568,1,F,3,TRUE,NA
MATa-deletion-384,rec371,1,F,4,TRUE,NA
MATa-deletion-384,rec1569,1,F,5,TRUE,NA
MATa-deletion-384,rec374,1,F,6,TRUE,NA
MATa-deletion-384,rec1570,1,F,7,TRUE,NA
MATa-deletion-384,rec377,1,F,8,TRUE,NA
MATa-deletion-384,rec1571,1,F,9,TRUE,NA
MATa-deletion-384,rec378,1,F,10,TRUE,NA
MATa-deletion-384,rec1572,1,F,11,TRUE,NA
MATa-deletion-384,rec379,1,F,12,TRUE,NA
MATa-deletion-384,rec1573,1,F,13,TRUE,NA
MATa-deletion-384,rec380,1,F,14,TRUE,NA
MATa-deletion-384,rec1574,1,F,15,TRUE,NA
MATa-deletion-384,rec381,1,F,16,TRUE,NA
MATa-deletion-384,rec1575,1,F,17,TRUE,NA
MATa-deletion-384,rec382,1,F,18,TRUE,NA
MATa-deletion-384,rec1576,1,F,19,TRUE,NA
MATa-deletion-384,rec385,1,F,20,TRUE,NA
MATa-deletion-384,rec1578,1,F,21,TRUE,NA
MATa-deletion-384,rec386,1,F,22,TRUE,NA
MATa-deletion-384,rec1579,1,F,23,TRUE,NA
MATa-deletion-384,rec387,1,F,24,TRUE,NA
MATa-deletion-384,rec760,1,G,1,TRUE,NA
MATa-deletion-384,rec534,1,G,2,TRUE,NA
MATa-deletion-384,rec761,1,G,3,TRUE,NA
MATa-deletion-384,rec536,1,G,4,TRUE,NA
MATa-deletion-384,rec762,1,G,5,TRUE,NA
MATa-deletion-384,rec537,1,G,6,TRUE,NA
MATa-deletion-384,rec763,1,G,7,TRUE,NA
MATa-deletion-384,rec538,1,G,8,TRUE,NA
MATa-deletion-384,rec764,1,G,9,TRUE,NA
MATa-deletion-384,rec539,1,G,10,TRUE,NA
MATa-deletion-384,rec765,1,G,11,TRUE,NA
MATa-deletion-384,rec540,1,G,12,TRUE,NA
MATa-deletion-384,rec767,1,G,13,TRUE,NA
MATa-deletion-384,rec543,1,G,14,TRUE,NA
MATa-deletion-384,rec768,1,G,15,TRUE,NA
MATa-deletion-384,rec544,1,G,16,TRUE,NA
MATa-deletion-384,rec769,1,G,17,TRUE,NA
MATa-deletion-384,rec545,1,G,18,TRUE,NA
MATa-deletion-384,rec771,1,G,19,TRUE,NA
MATa-deletion-384,rec547,1,G,20,TRUE,NA
MATa-deletion-384,rec772,1,G,21,TRUE,NA
MATa-deletion-384,rec549,1,G,22,TRUE,NA
MATa-deletion-384,rec773,1,G,23,TRUE,NA
MATa-deletion-384,rec553,1,G,24,TRUE,NA
MATa-deletion-384,rec1580,1,H,1,TRUE,NA
MATa-deletion-384,rec388,1,H,2,TRUE,NA
MATa-deletion-384,rec1582,1,H,3,TRUE,NA
MATa-deletion-384,rec389,1,H,4,TRUE,NA
MATa-deletion-384,rec1583,1,H,5,TRUE,NA
MATa-deletion-384,rec390,1,H,6,TRUE,NA
MATa-deletion-384,rec2653,1,H,7,TRUE,NA
MATa-deletion-384,rec391,1,H,8,TRUE,NA
MATa-deletion-384,rec2654,1,H,9,TRUE,NA
MATa-deletion-384,rec393,1,H,10,TRUE,NA
MATa-deletion-384,rec2655,1,H,11,TRUE,NA
MATa-deletion-384,rec394,1,H,12,TRUE,NA
MATa-deletion-384,rec2657,1,H,13,TRUE,NA
MATa-deletion-384,rec395,1,H,14,TRUE,NA
MATa-deletion-384,rec2658,1,H,15,TRUE,NA
MATa-deletion-384,rec397,1,H,16,TRUE,NA
MATa-deletion-384,rec2659,1,H,17,TRUE,NA
MATa-deletion-384,rec398,1,H,18,TRUE,NA
MATa-deletion-384,rec2660,1,H,19,TRUE,NA
MATa-deletion-384,rec399,1,H,20,TRUE,NA
MATa-deletion-384,rec2664,1,H,21,TRUE,NA
MATa-deletion-384,rec400,1,H,22,TRUE,NA
MATa-deletion-384,rec2665,1,H,23,TRUE,NA
MATa-deletion-384,rec401,1,H,24,TRUE,NA
MATa-deletion-384,rec774,1,I,1,TRUE,NA
MATa-deletion-384,rec554,1,I,2,TRUE,NA
MATa-deletion-384,rec775,1,I,3,TRUE,sgs1 MATa behaves differently than MATalpha to RAD5 overexpression. MATa version behaves like W303 sgs1.
MATa-deletion-384,rec555,1,I,4,TRUE,NA
MATa-deletion-384,rec776,1,I,5,TRUE,NA
MATa-deletion-384,rec556,1,I,6,TRUE,NA
MATa-deletion-384,rec777,1,I,7,TRUE,NA
MATa-deletion-384,rec557,1,I,8,TRUE,NA
MATa-deletion-384,rec778,1,I,9,TRUE,NA
MATa-deletion-384,rec559,1,I,10,TRUE,NA
MATa-deletion-384,rec779,1,I,11,TRUE,NA
MATa-deletion-384,rec560,1,I,12,TRUE,NA
MATa-deletion-384,rec780,1,I,13,TRUE,NA
MATa-deletion-384,rec561,1,I,14,TRUE,NA
MATa-deletion-384,rec781,1,I,15,TRUE,NA
MATa-deletion-384,rec562,1,I,16,TRUE,NA
MATa-deletion-384,rec782,1,I,17,TRUE,NA
MATa-deletion-384,rec563,1,I,18,TRUE,NA
MATa-deletion-384,rec784,1,I,19,TRUE,NA
MATa-deletion-384,rec567,1,I,20,TRUE,NA
MATa-deletion-384,rec785,1,I,21,TRUE,NA
MATa-deletion-384,rec568,1,I,22,TRUE,NA
MATa-deletion-384,rec787,1,I,23,TRUE,NA
MATa-deletion-384,rec569,1,I,24,TRUE,NA
MATa-deletion-384,rec2666,1,J,1,TRUE,NA
MATa-deletion-384,rec402,1,J,2,TRUE,NA
MATa-deletion-384,rec2667,1,J,3,TRUE,NA
MATa-deletion-384,rec403,1,J,4,TRUE,NA
MATa-deletion-384,rec2668,1,J,5,TRUE,NA
MATa-deletion-384,rec405,1,J,6,TRUE,NA
MATa-deletion-384,rec2669,1,J,7,TRUE,NA
MATa-deletion-384,rec407,1,J,8,TRUE,NA
