strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,2,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,4,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,6,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,8,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,10,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,12,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,14,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,16,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,18,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,20,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,22,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,2,24,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,4,2,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,4,4,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec10764,1,4,6,FALSE,spt21-S000004791-1-C-19
"MATalpha-CTF4,RAD5-384-hb",rec10366,1,4,8,FALSE,cln3-S000000038-1-D-20
"MATalpha-CTF4,RAD5-384-hb",rec10540,1,4,10,FALSE,rad52-S000004494-1-E-8
"MATalpha-CTF4,RAD5-384-hb",rec10545,1,4,12,FALSE,tsa1-S000004490-1-E-14
"MATalpha-CTF4,RAD5-384-hb",rec10775,1,4,14,FALSE,sgs1-S000004802-1-E-15
"MATalpha-CTF4,RAD5-384-hb",rec10377,1,4,16,FALSE,gip4-S000000029-1-F-6
"MATalpha-CTF4,RAD5-384-hb",rec10385,1,4,18,FALSE,pmt2-S000000021-1-F-16
"MATalpha-CTF4,RAD5-384-hb",rec10556,1,4,20,FALSE,psp2-S000004479-1-G-2
"MATalpha-CTF4,RAD5-384-hb",rec10810,1,4,22,FALSE,mre11-S000004837-1-I-11
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,4,24,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec12458,1,6,2,TRUE,POSITIVE CONTROL
"MATalpha-CTF4,RAD5-384-hb",rec10407,1,6,4,FALSE,nup60-S000000063-1-J-4
