strain_collection_id,strain_id,plate,row,column,plate_control,strain_collection_notes
MATa-deletion-96,rec338,1,A,2,TRUE,NA
MATa-deletion-96,rec339,1,A,3,TRUE,NA
MATa-deletion-96,rec340,1,A,4,TRUE,NA
MATa-deletion-96,rec341,1,A,5,TRUE,NA
MATa-deletion-96,rec345,1,A,6,TRUE,NA
MATa-deletion-96,rec346,1,A,7,TRUE,NA
MATa-deletion-96,rec347,1,A,8,TRUE,NA
MATa-deletion-96,rec348,1,A,9,TRUE,NA
MATa-deletion-96,rec349,1,A,10,TRUE,NA
MATa-deletion-96,rec351,1,A,11,TRUE,NA
MATa-deletion-96,rec352,1,A,12,TRUE,NA
MATa-deletion-96,rec354,1,B,1,TRUE,NA
MATa-deletion-96,rec355,1,B,2,TRUE,NA
MATa-deletion-96,rec356,1,B,3,TRUE,NA
MATa-deletion-96,rec357,1,B,4,TRUE,NA
MATa-deletion-96,rec359,1,B,5,TRUE,NA
MATa-deletion-96,rec360,1,B,6,TRUE,NA
MATa-deletion-96,rec361,1,B,7,TRUE,NA
MATa-deletion-96,rec363,1,B,8,TRUE,NA
MATa-deletion-96,rec364,1,B,9,TRUE,NA
MATa-deletion-96,rec366,1,B,10,TRUE,NA
MATa-deletion-96,rec367,1,B,11,TRUE,NA
MATa-deletion-96,rec369,1,B,12,TRUE,NA
MATa-deletion-96,rec370,1,C,1,TRUE,NA
MATa-deletion-96,rec371,1,C,2,TRUE,NA
MATa-deletion-96,rec374,1,C,3,TRUE,NA
MATa-deletion-96,rec377,1,C,4,TRUE,NA
MATa-deletion-96,rec378,1,C,5,TRUE,NA
MATa-deletion-96,rec379,1,C,6,TRUE,NA
MATa-deletion-96,rec380,1,C,7,TRUE,NA
MATa-deletion-96,rec381,1,C,8,TRUE,NA
MATa-deletion-96,rec382,1,C,9,TRUE,NA
MATa-deletion-96,rec385,1,C,10,TRUE,NA
MATa-deletion-96,rec386,1,C,11,TRUE,NA
MATa-deletion-96,rec387,1,C,12,TRUE,NA
MATa-deletion-96,rec388,1,D,1,TRUE,NA
MATa-deletion-96,rec389,1,D,2,TRUE,NA
MATa-deletion-96,rec390,1,D,3,TRUE,NA
MATa-deletion-96,rec391,1,D,4,TRUE,NA
MATa-deletion-96,rec393,1,D,5,TRUE,NA
MATa-deletion-96,rec394,1,D,6,TRUE,NA
MATa-deletion-96,rec395,1,D,7,TRUE,NA
MATa-deletion-96,rec397,1,D,8,TRUE,NA
MATa-deletion-96,rec398,1,D,9,TRUE,NA
MATa-deletion-96,rec399,1,D,10,TRUE,NA
MATa-deletion-96,rec400,1,D,11,TRUE,NA
MATa-deletion-96,rec401,1,D,12,TRUE,NA
MATa-deletion-96,rec402,1,E,1,TRUE,NA
MATa-deletion-96,rec403,1,E,2,TRUE,NA
MATa-deletion-96,rec405,1,E,3,TRUE,NA
MATa-deletion-96,rec407,1,E,4,TRUE,NA
MATa-deletion-96,rec408,1,E,5,TRUE,NA
MATa-deletion-96,rec413,1,E,6,TRUE,NA
MATa-deletion-96,rec414,1,E,7,TRUE,NA
MATa-deletion-96,rec415,1,E,8,TRUE,NA
MATa-deletion-96,rec417,1,E,9,TRUE,NA
MATa-deletion-96,rec418,1,E,10,TRUE,NA
MATa-deletion-96,rec419,1,E,11,TRUE,NA
MATa-deletion-96,rec420,1,E,12,TRUE,NA
MATa-deletion-96,rec421,1,F,1,TRUE,NA
MATa-deletion-96,rec422,1,F,2,TRUE,NA
MATa-deletion-96,rec423,1,F,3,TRUE,NA
MATa-deletion-96,rec425,1,F,4,TRUE,NA
MATa-deletion-96,rec426,1,F,5,TRUE,NA
MATa-deletion-96,rec427,1,F,6,TRUE,NA
MATa-deletion-96,rec428,1,F,7,TRUE,NA
MATa-deletion-96,rec429,1,F,8,TRUE,NA
MATa-deletion-96,rec430,1,F,9,TRUE,NA
MATa-deletion-96,rec431,1,F,10,TRUE,NA
MATa-deletion-96,rec1489,1,F,11,TRUE,NA
MATa-deletion-96,rec1490,1,F,12,TRUE,NA
MATa-deletion-96,rec1493,1,G,1,TRUE,NA
MATa-deletion-96,rec1494,1,G,2,TRUE,NA
MATa-deletion-96,rec1497,1,G,3,TRUE,NA
MATa-deletion-96,rec1498,1,G,4,TRUE,NA
MATa-deletion-96,rec1500,1,G,5,TRUE,NA
MATa-deletion-96,rec1501,1,G,6,TRUE,NA
MATa-deletion-96,rec1502,1,G,7,TRUE,NA
MATa-deletion-96,rec1503,1,G,8,TRUE,NA
MATa-deletion-96,rec1504,1,G,9,TRUE,NA
MATa-deletion-96,rec1505,1,G,10,TRUE,NA
MATa-deletion-96,rec1507,1,G,11,TRUE,NA
MATa-deletion-96,rec1508,1,G,12,TRUE,NA
MATa-deletion-96,rec1509,1,H,1,TRUE,NA
MATa-deletion-96,rec1511,1,H,3,TRUE,NA
MATa-deletion-96,rec1512,1,H,4,TRUE,NA
MATa-deletion-96,rec1513,1,H,5,TRUE,NA
MATa-deletion-96,rec1514,1,H,6,TRUE,NA
MATa-deletion-96,rec1516,1,H,7,TRUE,NA
MATa-deletion-96,rec1517,1,H,8,TRUE,NA
MATa-deletion-96,rec1520,1,H,9,TRUE,NA
MATa-deletion-96,rec1521,1,H,10,TRUE,NA
MATa-deletion-96,rec1526,1,H,11,TRUE,NA
MATa-deletion-96,rec1527,1,H,12,TRUE,NA
MATa-deletion-96,rec1528,2,A,1,TRUE,NA
MATa-deletion-96,rec1529,2,A,3,TRUE,NA
MATa-deletion-96,rec1530,2,A,4,TRUE,NA
MATa-deletion-96,rec1531,2,A,5,TRUE,NA
MATa-deletion-96,rec1533,2,A,6,TRUE,NA
MATa-deletion-96,rec1534,2,A,7,TRUE,NA
MATa-deletion-96,rec1535,2,A,8,TRUE,NA
MATa-deletion-96,rec1539,2,A,9,TRUE,NA
MATa-deletion-96,rec1540,2,A,10,TRUE,NA
MATa-deletion-96,rec1541,2,A,11,TRUE,NA
MATa-deletion-96,rec1542,2,A,12,TRUE,NA
MATa-deletion-96,rec1543,2,B,1,TRUE,NA
MATa-deletion-96,rec1544,2,B,2,TRUE,NA
MATa-deletion-96,rec1545,2,B,3,TRUE,NA
MATa-deletion-96,rec1546,2,B,4,TRUE,NA
MATa-deletion-96,rec1548,2,B,5,TRUE,NA
MATa-deletion-96,rec1549,2,B,6,TRUE,NA
MATa-deletion-96,rec1550,2,B,7,TRUE,NA
MATa-deletion-96,rec1551,2,B,8,TRUE,NA
MATa-deletion-96,rec1556,2,B,9,TRUE,NA
MATa-deletion-96,rec1558,2,B,10,TRUE,NA
MATa-deletion-96,rec1559,2,B,11,TRUE,NA
MATa-deletion-96,rec1566,2,B,12,TRUE,NA
MATa-deletion-96,rec1567,2,C,1,TRUE,NA
MATa-deletion-96,rec1568,2,C,2,TRUE,NA
MATa-deletion-96,rec1569,2,C,3,TRUE,NA
MATa-deletion-96,rec1570,2,C,4,TRUE,NA
MATa-deletion-96,rec1571,2,C,5,TRUE,NA
MATa-deletion-96,rec1572,2,C,6,TRUE,NA
MATa-deletion-96,rec1573,2,C,7,TRUE,NA
MATa-deletion-96,rec1574,2,C,8,TRUE,NA
MATa-deletion-96,rec1575,2,C,9,TRUE,NA
MATa-deletion-96,rec1576,2,C,10,TRUE,NA
MATa-deletion-96,rec1578,2,C,11,TRUE,NA
MATa-deletion-96,rec1579,2,C,12,TRUE,NA
MATa-deletion-96,rec1580,2,D,1,TRUE,NA
MATa-deletion-96,rec1582,2,D,2,TRUE,NA
MATa-deletion-96,rec1583,2,D,3,TRUE,NA
MATa-deletion-96,rec2653,2,D,4,TRUE,NA
MATa-deletion-96,rec2654,2,D,5,TRUE,NA
MATa-deletion-96,rec2655,2,D,6,TRUE,NA
MATa-deletion-96,rec2657,2,D,7,TRUE,NA
MATa-deletion-96,rec2658,2,D,8,TRUE,NA
MATa-deletion-96,rec2659,2,D,9,TRUE,NA
MATa-deletion-96,rec2660,2,D,10,TRUE,NA
MATa-deletion-96,rec2664,2,D,11,TRUE,NA
MATa-deletion-96,rec2665,2,D,12,TRUE,NA
MATa-deletion-96,rec2666,2,E,1,TRUE,NA
MATa-deletion-96,rec2667,2,E,2,TRUE,NA
MATa-deletion-96,rec2668,2,E,3,TRUE,NA
MATa-deletion-96,rec2669,2,E,4,TRUE,NA
MATa-deletion-96,rec2670,2,E,5,TRUE,NA
MATa-deletion-96,rec2672,2,E,6,TRUE,NA
MATa-deletion-96,rec2673,2,E,7,TRUE,NA
MATa-deletion-96,rec2674,2,E,8,TRUE,NA
MATa-deletion-96,rec2675,2,E,9,TRUE,NA
MATa-deletion-96,rec2676,2,E,10,TRUE,NA
MATa-deletion-96,rec2678,2,E,11,TRUE,NA
MATa-deletion-96,rec2679,2,E,12,TRUE,NA
MATa-deletion-96,rec2680,2,F,1,TRUE,NA
MATa-deletion-96,rec2681,2,F,2,TRUE,NA
MATa-deletion-96,rec2683,2,F,3,TRUE,NA
MATa-deletion-96,rec2684,2,F,4,TRUE,NA
MATa-deletion-96,rec2685,2,F,5,TRUE,NA
MATa-deletion-96,rec2688,2,F,6,TRUE,NA
MATa-deletion-96,rec2690,2,F,7,TRUE,NA
MATa-deletion-96,rec2691,2,F,8,TRUE,NA
MATa-deletion-96,rec2692,2,F,9,TRUE,NA
MATa-deletion-96,rec2693,2,F,10,TRUE,NA
MATa-deletion-96,rec2694,2,F,11,TRUE,NA
MATa-deletion-96,rec2695,2,F,12,TRUE,NA
MATa-deletion-96,rec2696,2,G,1,TRUE,NA
MATa-deletion-96,rec2698,2,G,2,TRUE,NA
MATa-deletion-96,rec2700,2,G,3,TRUE,NA
MATa-deletion-96,rec2701,2,G,4,TRUE,NA
MATa-deletion-96,rec2702,2,G,5,TRUE,NA
MATa-deletion-96,rec2703,2,G,6,TRUE,NA
MATa-deletion-96,rec2704,2,G,7,TRUE,NA
MATa-deletion-96,rec2705,2,G,8,TRUE,NA
MATa-deletion-96,rec2706,2,G,9,TRUE,NA
MATa-deletion-96,rec2707,2,G,10,TRUE,NA
MATa-deletion-96,rec2708,2,G,11,TRUE,NA
MATa-deletion-96,rec2709,2,G,12,TRUE,NA
MATa-deletion-96,rec2710,2,H,1,TRUE,NA
MATa-deletion-96,rec2713,2,H,3,TRUE,NA
MATa-deletion-96,rec2715,2,H,4,TRUE,NA
MATa-deletion-96,rec2718,2,H,5,TRUE,NA
MATa-deletion-96,rec2719,2,H,6,TRUE,NA
MATa-deletion-96,rec2720,2,H,7,TRUE,NA
MATa-deletion-96,rec2722,2,H,8,TRUE,NA
MATa-deletion-96,rec2723,2,H,9,TRUE,NA
MATa-deletion-96,rec2724,2,H,10,TRUE,NA
MATa-deletion-96,rec2725,2,H,11,TRUE,NA
MATa-deletion-96,rec2729,2,H,12,TRUE,NA
MATa-deletion-96,rec2730,3,A,1,TRUE,NA
MATa-deletion-96,rec2731,3,A,2,TRUE,NA
MATa-deletion-96,rec2732,3,A,4,TRUE,NA
MATa-deletion-96,rec2733,3,A,5,TRUE,NA
MATa-deletion-96,rec2734,3,A,6,TRUE,NA
MATa-deletion-96,rec2735,3,A,7,TRUE,NA
MATa-deletion-96,rec2736,3,A,8,TRUE,NA
MATa-deletion-96,rec481,3,A,9,TRUE,NA
MATa-deletion-96,rec482,3,A,10,TRUE,NA
MATa-deletion-96,rec483,3,A,11,TRUE,NA
MATa-deletion-96,rec484,3,A,12,TRUE,NA
MATa-deletion-96,rec486,3,B,1,TRUE,NA
MATa-deletion-96,rec487,3,B,2,TRUE,NA
MATa-deletion-96,rec488,3,B,3,TRUE,NA
MATa-deletion-96,rec489,3,B,4,TRUE,NA
MATa-deletion-96,rec490,3,B,5,TRUE,NA
MATa-deletion-96,rec491,3,B,6,TRUE,NA
MATa-deletion-96,rec492,3,B,7,TRUE,NA
MATa-deletion-96,rec507,3,B,8,TRUE,NA
MATa-deletion-96,rec508,3,B,9,TRUE,NA
MATa-deletion-96,rec509,3,B,10,TRUE,NA
MATa-deletion-96,rec510,3,B,11,TRUE,NA
MATa-deletion-96,rec511,3,B,12,TRUE,NA
MATa-deletion-96,rec512,3,C,1,TRUE,NA
MATa-deletion-96,rec513,3,C,2,TRUE,NA
MATa-deletion-96,rec514,3,C,3,TRUE,NA
MATa-deletion-96,rec515,3,C,4,TRUE,NA
MATa-deletion-96,rec516,3,C,5,TRUE,NA
MATa-deletion-96,rec517,3,C,6,TRUE,NA
MATa-deletion-96,rec518,3,C,7,TRUE,NA
MATa-deletion-96,rec519,3,C,8,TRUE,NA
MATa-deletion-96,rec520,3,C,9,TRUE,NA
MATa-deletion-96,rec521,3,C,10,TRUE,NA
MATa-deletion-96,rec523,3,C,11,TRUE,NA
MATa-deletion-96,rec524,3,C,12,TRUE,NA
MATa-deletion-96,rec534,3,D,1,TRUE,NA
MATa-deletion-96,rec536,3,D,2,TRUE,NA
MATa-deletion-96,rec537,3,D,3,TRUE,NA
MATa-deletion-96,rec538,3,D,4,TRUE,NA
MATa-deletion-96,rec539,3,D,5,TRUE,NA
MATa-deletion-96,rec540,3,D,6,TRUE,NA
MATa-deletion-96,rec543,3,D,7,TRUE,NA
MATa-deletion-96,rec544,3,D,8,TRUE,NA
MATa-deletion-96,rec545,3,D,9,TRUE,NA
MATa-deletion-96,rec547,3,D,10,TRUE,NA
MATa-deletion-96,rec549,3,D,11,TRUE,NA
MATa-deletion-96,rec553,3,D,12,TRUE,NA
MATa-deletion-96,rec554,3,E,1,TRUE,NA
MATa-deletion-96,rec555,3,E,2,TRUE,NA
MATa-deletion-96,rec556,3,E,3,TRUE,NA
MATa-deletion-96,rec557,3,E,4,TRUE,NA
MATa-deletion-96,rec559,3,E,5,TRUE,NA
MATa-deletion-96,rec560,3,E,6,TRUE,NA
MATa-deletion-96,rec561,3,E,7,TRUE,NA
MATa-deletion-96,rec562,3,E,8,TRUE,NA
MATa-deletion-96,rec563,3,E,9,TRUE,NA
MATa-deletion-96,rec567,3,E,10,TRUE,NA
MATa-deletion-96,rec568,3,E,11,TRUE,NA
MATa-deletion-96,rec569,3,E,12,TRUE,NA
MATa-deletion-96,rec570,3,F,1,TRUE,NA
MATa-deletion-96,rec571,3,F,2,TRUE,NA
MATa-deletion-96,rec572,3,F,3,TRUE,NA
MATa-deletion-96,rec573,3,F,4,TRUE,NA
MATa-deletion-96,rec574,3,F,5,TRUE,NA
MATa-deletion-96,rec575,3,F,6,TRUE,NA
MATa-deletion-96,rec577,3,F,7,TRUE,NA
MATa-deletion-96,rec578,3,F,8,TRUE,NA
MATa-deletion-96,rec581,3,F,9,TRUE,NA
MATa-deletion-96,rec582,3,F,10,TRUE,NA
MATa-deletion-96,rec583,3,F,11,TRUE,NA
