strain_collection_id,description
cispt-sensitive-1,
MATa-deletion-384,
MATa-ts-384-hb,
"MATalpha-CTF4-validation1-96",
"MATalpha-CTF4,RAD5-384-hb",
"MATalpha-CTF4,RAD5-96-hb",
